,movie,year,imdb,metascore,votes,us_grossMillions,timeMin
0,Tenet,2020,7.9,69.0,69653,,150
1,Joker,2019,8.5,59.0,856260,335.45,122
2,Knives Out,2019,7.9,82.0,379180,165.36,130
3,Inception,2010,8.8,74.0,2003862,292.58,148
4,The Peanut Butter Falcon,2019,7.6,70.0,51688,13.12,97
5,Interstellar,2014,8.6,74.0,1450256,188.02,169
6,Hamilton,2020,8.7,90.0,37890,,160
7,Once Upon a Time... In Hollywood,2019,7.6,83.0,507755,142.5,161
8,The Dark Knight,2008,9.0,84.0,2242591,534.86,152
9,Jojo Rabbit,2019,7.9,58.0,254380,0.35,108
10,The Gentlemen,2019,7.9,51.0,179609,,113
11,Avengers: Endgame,2019,8.4,78.0,755585,858.37,181
12,Parasite,2019,8.6,96.0,471861,53.37,132
13,The Goonies,1985,7.8,62.0,237417,61.5,114
14,Dunkirk,2017,7.9,94.0,531933,188.37,106
15,The Shawshank Redemption,1994,9.3,80.0,2279620,28.34,142
16,The Dark Knight Rises,2012,8.4,78.0,1481122,448.14,164
17,The Prestige,2006,8.5,66.0,1156300,53.09,130
18,Harry Potter and the Sorcerer's Stone,2001,7.6,64.0,625341,317.58,152
19,1917,2019,8.3,78.0,363640,159.23,119
20,The Godfather,1972,9.2,100.0,1573274,134.97,175
21,Jurassic Park,1993,8.1,68.0,846327,402.45,127
22,Ford v Ferrari,2019,8.1,81.0,252561,117.62,152
23,Little Women,2019,7.8,91.0,122652,108.1,135
24,The Notebook,2004,7.8,53.0,508358,81.0,123
25,Get Out,2017,7.7,85.0,472664,176.04,104
26,The Wolf of Wall Street,2013,8.2,75.0,1142048,116.9,180
27,Batman Begins,2005,8.2,70.0,1278593,206.85,140
28,Titanic,1997,7.8,75.0,1023445,659.33,194
29,Memento,2000,8.4,80.0,1099358,25.54,113
30,Dil Bechara,2020,8.8,,101849,,101
31,A Star Is Born,2018,7.7,88.0,318742,215.29,136
32,Pulp Fiction,1994,8.9,94.0,1780740,107.93,154
33,Watchmen,2009,7.6,56.0,491313,107.51,162
34,The Matrix,1999,8.7,73.0,1632862,171.48,136
35,Goodfellas,1990,8.7,90.0,991883,46.84,146
36,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,92.0,1620363,315.54,178
37,Gone with the Wind,1939,8.1,97.0,284090,198.68,238
38,The Silence of the Lambs,1991,8.6,85.0,1234629,130.74,118
39,Fight Club,1999,8.8,66.0,1808006,37.03,139
40,Gladiator,2000,8.5,67.0,1308609,187.71,155
41,Pride & Prejudice,2005,7.8,82.0,247839,38.41,129
42,Avengers: Infinity War,2018,8.4,68.0,796958,678.82,149
43,Mad Max: Fury Road,2015,8.1,90.0,856830,154.06,120
44,Django Unchained,2012,8.4,81.0,1318308,162.81,165
45,The Irishman,2019,7.9,94.0,304808,7.0,209
46,The Shining,1980,8.4,66.0,869878,44.02,146
47,Se7en,1995,8.6,65.0,1402561,100.13,127
48,Inglourious Basterds,2009,8.3,69.0,1230384,120.54,153
49,No Country for Old Men,2007,8.1,91.0,832029,74.28,122
50,Gone Girl,2014,8.1,79.0,833817,167.77,149
51,Zodiac,2007,7.7,78.0,444211,33.08,157
52,Blade Runner 2049,2017,8.0,81.0,441123,92.05,164
53,Nightcrawler,2014,7.9,76.0,449443,32.38,117
54,Portrait of a Lady on Fire,2019,8.1,95.0,50130,,122
55,Back to the Future,1985,8.5,87.0,1027744,210.61,116
56,The Big Lebowski,1998,8.1,71.0,714149,17.5,117
57,Scarface,1983,8.3,65.0,721602,45.6,170
58,Spider-Man: Into the Spider-Verse,2018,8.4,87.0,336236,190.24,117
59,Guardians of the Galaxy,2014,8.0,76.0,1023575,333.18,121
60,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,85.0,743581,381.01,130
61,Apocalypse Now,1979,8.4,94.0,591461,83.47,147
62,Schindler's List,1993,8.9,94.0,1183645,96.9,195
63,Harry Potter and the Goblet of Fire,2005,7.7,81.0,530686,290.01,157
64,The Hobbit: An Unexpected Journey,2012,7.8,58.0,746129,303.0,169
65,Ferris Bueller's Day Off,1986,7.8,61.0,313965,70.14,103
